Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Calvin Johnson*+,DET,27,WR,16,16,204,122,59.8%,1964,16.1,5,92,55.4,53,9.6,7.6,122.8,3,JohnCa00
2,Brandon Marshall*+,CHI,28,WR,16,16,192,118,61.5%,1508,12.8,11,74,47.9,56,7.9,7.4,94.3,2,MarsBr00
3,Wes Welker*,NWE,31,WR,16,12,174,118,67.8%,1354,11.5,6,71,56.9,59,7.8,7.4,84.6,3,WelkWe00
4,Andre Johnson*,HOU,31,WR,16,16,162,112,69.1%,1598,14.3,4,79,61.1,60,9.9,7.0,99.9,0,JohnAn02
5,Jason Witten*,DAL,30,TE,16,16,147,110,74.8%,1039,9.4,3,56,65.3,36,7.1,6.9,64.9,0,WittJa00
6,Reggie Wayne*,IND,34,WR,16,15,195,106,54.4%,1355,12.8,5,73,49.2,33,6.9,6.6,84.7,1,WaynRe00
7,A.J. Green*,CIN,24,WR,16,16,164,97,59.1%,1350,13.9,11,61,51.8,73,8.2,6.1,84.4,2,GreeA.00
8,Demaryius Thomas*,DEN,25,WR,16,16,143,94,65.7%,1434,15.3,10,60,54.5,71,10.0,5.9,89.6,3,ThomDe03
9,Tony Gonzalez*+,ATL,36,TE,16,16,124,93,75.0%,930,10.0,8,65,68.5,25,7.5,5.8,58.1,0,GonzTo00
10,Dez Bryant,DAL,24,WR,16,14,138,92,66.7%,1382,15.0,12,54,57.2,85,10.0,5.8,86.4,5,BryaDe01
11,Roddy White,ATL,31,WR,16,15,142,92,64.8%,1351,14.7,7,73,58.5,59,9.5,5.8,84.4,1,WhitRo00
12,Victor Cruz*,NYG,26,WR,16,16,143,86,60.1%,1092,12.7,10,52,50.3,80,7.6,5.4,68.3,0,CruzVi00
13,Michael Crabtree,SFO,25,WR,16,16,127,85,66.9%,1105,13.0,9,57,57.5,49,8.7,5.3,69.1,0,CrabMi00
14,Eric Decker,DEN,25,WR,16,15,122,85,69.7%,1064,12.5,13,53,60.7,55,8.7,5.3,66.5,0,DeckEr00
15,Jimmy Graham,NOR,26,TE,15,9,135,85,63.0%,982,11.6,9,59,54.8,46,7.3,5.7,65.5,1,GrahJi00
16,Marques Colston,NOR,29,WR,16,13,130,83,63.8%,1154,13.9,10,64,62.3,60,8.9,5.2,72.1,4,ColsMa00
17,Randall Cobb,GNB,22,WR,15,8,104,80,76.9%,954,11.9,8,47,59.6,39,9.2,5.3,63.6,4,CobbRa00
18,Stevie Johnson,BUF,26,WR,16,16,148,79,53.4%,1046,13.2,6,52,47.3,63,7.1,4.9,65.4,1,JohnSt00
19,Julio Jones*,ATL,23,WR,16,15,128,79,61.7%,1198,15.2,10,56,54.7,80,9.4,4.9,74.9,0,JoneJu02
20,Brandon Myers,OAK,27,TE,16,16,105,79,75.2%,806,10.2,4,42,57.1,29,7.7,4.9,50.4,0,MyerBr00
21,Darren Sproles,NOR,29,RB,13,6,104,75,72.1%,667,8.9,7,30,47.1,44,6.4,5.8,51.3,0,SproDa00
22,Brian Hartline,MIA,26,WR,16,15,131,74,56.5%,1083,14.6,1,49,51.9,80,8.3,4.6,67.7,1,HartBr00
23,Brandon Lloyd,NWE,31,WR,16,15,131,74,56.5%,911,12.3,4,50,51.1,53,7.0,4.6,56.9,0,LloyBr00
24,Steve Smith Sr.,CAR,33,WR,16,16,137,73,53.3%,1174,16.1,4,52,46.0,66,8.6,4.6,73.4,1,SmitSt01
25,Vincent Jackson*,TAM,29,WR,16,16,147,72,49.0%,1384,19.2,8,61,48.3,95,9.4,4.5,86.5,0,JackVi00
26,Larry Fitzgerald*,ARI,29,WR,16,16,156,71,45.5%,798,11.2,4,45,34.6,37,5.1,4.4,49.9,0,FitzLa00
27,Heath Miller*,PIT,30,TE,15,15,101,71,70.3%,816,11.5,8,44,58.4,43,8.1,4.7,54.4,0,MillHe00
28,Jeremy Maclin,PHI,24,WR,15,15,122,69,56.6%,857,12.4,7,37,42.6,70,7.0,4.6,57.1,1,MaclJe00
29,Greg Olsen,CAR,27,TE,16,16,104,69,66.3%,843,12.2,5,44,54.8,47,8.1,4.3,52.7,0,OlseGr00
30,Miles Austin,DAL,28,WR,16,15,119,66,55.5%,943,14.3,6,49,50.4,49,7.9,4.1,58.9,1,AustMi00
31,Antonio Brown,PIT,24,WR,13,10,106,66,62.3%,787,11.9,5,43,51.9,60,7.4,5.1,60.5,4,BrowAn04
32,Anquan Boldin,BAL,32,WR,15,15,112,65,58.0%,921,14.2,4,45,50.9,43,8.2,4.3,61.4,0,BoldAn00
33,Lance Moore,NOR,29,WR,15,7,104,65,62.5%,1041,16.0,6,55,59.6,51,10.0,4.3,69.4,0,MoorLa00
34,Justin Blackmon,JAX,22,WR,16,14,132,64,48.5%,865,13.5,5,41,43.9,81,6.6,4.0,54.1,1,BlacJu00
35,Jermaine Gresham*,CIN,24,TE,16,15,94,64,68.1%,737,11.5,5,33,51.1,55,7.8,4.0,46.1,2,GresJe00
36,James Jones,GNB,28,WR,16,16,98,64,65.3%,784,12.3,14,45,57.1,49,8.0,4.0,49.0,0,JoneJa04
37,Andre Roberts,ARI,24,WR,15,15,114,64,56.1%,759,11.9,5,40,46.5,46,6.7,4.3,50.6,1,RobeAn00
38,Mike Wallace,PIT,26,WR,15,14,119,64,53.8%,836,13.1,8,33,42.9,82,7.0,4.3,55.7,2,WallMi00
39,Kendall Wright,TEN,23,WR,15,5,104,64,61.5%,626,9.8,4,38,49.0,38,6.0,4.3,41.7,1,WrigKe01
40,Danny Amendola,STL,27,WR,11,8,101,63,62.4%,666,10.6,3,39,50.5,56,6.6,5.7,60.5,3,AmenDa00
41,Mike Williams,TAM,25,WR,16,16,126,63,50.0%,996,15.8,9,44,43.7,65,7.9,3.9,62.3,0,WillMi04
42,Owen Daniels*,HOU,30,TE,15,14,104,62,59.6%,716,11.5,6,38,47.1,39,6.9,4.1,47.7,0,DaniOw00
43,Percy Harvin,MIN,24,WR,9,8,85,62,72.9%,677,10.9,3,37,61.2,45,8.0,6.9,75.2,2,HarvPe00
44,Davone Bess,MIA,27,WR,13,13,104,61,58.7%,778,12.8,1,38,45.2,39,7.5,4.7,59.8,1,BessDa00
45,Jermichael Finley,GNB,25,TE,16,14,87,61,70.1%,667,10.9,2,31,52.9,40,7.7,3.8,41.7,1,FinlJe00
46,Dennis Pitta,BAL,27,TE,16,5,94,61,64.9%,669,11.0,7,29,47.9,61,7.1,3.8,41.8,0,PittDe00
47,Ray Rice*,BAL,25,RB,16,16,83,61,73.5%,478,7.8,1,24,42.2,43,5.8,3.8,29.9,1,RiceRa00
48,Donnie Avery,IND,28,WR,16,15,124,60,48.4%,781,13.0,3,37,40.3,48,6.3,3.8,48.8,1,AverDo00
49,Dwayne Bowe,KAN,28,WR,13,12,114,59,51.8%,801,13.6,3,44,49.1,47,7.0,4.5,61.6,1,BoweDw00
50,Brandon Pettigrew,DET,27,TE,14,11,102,59,57.8%,567,9.6,3,33,47.1,24,5.6,4.2,40.5,4,PettBr00
51,Brent Celek,PHI,27,TE,15,14,88,57,64.8%,684,12.0,1,34,46.6,34,7.8,3.8,45.6,1,CeleBr00
52,Malcom Floyd,SDG,31,WR,14,14,85,56,65.9%,814,14.5,5,47,61.2,39,9.6,4.0,58.1,0,FloyMa00
53,Jeremy Kerley,NYJ,24,WR,16,7,95,56,58.9%,827,14.8,2,31,49.5,66,8.7,3.5,51.7,4,KerlJe00
54,Martellus Bennett,NYG,25,TE,16,16,89,55,61.8%,626,11.4,5,35,52.8,33,7.0,3.4,39.1,0,BennMa00
55,Rob Gronkowski*,NWE,23,TE,11,11,79,55,69.6%,790,14.4,11,45,68.4,41,10.0,5.0,71.8,1,GronRo00
56,Cecil Shorts,JAX,25,WR,14,9,105,55,52.4%,979,17.8,7,37,44.8,80,9.3,3.9,69.9,1,ShorCe00
57,LeSean McCoy,PHI,24,RB,12,12,67,54,80.6%,373,6.9,3,20,46.3,36,5.6,4.5,31.1,4,McCoLe01
58,Jason Avant,PHI,29,WR,14,6,76,53,69.7%,648,12.2,0,31,56.6,39,8.5,3.8,46.3,1,AvanJa00
59,Greg Little,CLE,23,WR,16,16,94,53,56.4%,647,12.2,4,36,44.7,43,6.9,3.3,40.4,0,LittGr00
60,Hakeem Nicks,NYG,24,WR,13,11,100,53,53.0%,692,13.1,3,35,43.0,50,6.9,4.1,53.2,0,NickHa01
61,Jacquizz Rodgers,ATL,22,RB,16,0,59,53,89.8%,402,7.6,1,18,61.0,32,6.8,3.3,25.1,0,RodgJa00
62,Kyle Rudolph*,MIN,23,TE,16,16,93,53,57.0%,493,9.3,9,34,48.4,29,5.3,3.3,30.8,0,RudoKy00
63,Joique Bell,DET,26,RB,16,0,68,52,76.5%,485,9.3,0,29,60.3,50,7.1,3.3,30.3,2,BellJo01
64,Marcedes Lewis,JAX,28,TE,16,15,77,52,67.5%,540,10.4,4,25,48.1,26,7.0,3.3,33.8,0,LewiMa00
65,Dexter McCluster,KAN,23,RB,16,6,77,52,67.5%,452,8.7,1,24,40.3,31,5.9,3.3,28.3,2,McClDe00
66,Marcel Reece*,OAK,27,RB,16,14,73,52,71.2%,496,9.5,1,23,46.6,56,6.8,3.3,31.0,2,ReecMa00
67,Jacob Tamme,DEN,27,TE,16,8,85,52,61.2%,555,10.7,2,29,54.1,36,6.5,3.3,34.7,0,TammJa00
68,Brandon Gibson,STL,25,WR,16,13,82,51,62.2%,691,13.5,5,43,59.8,34,8.4,3.2,43.2,0,GibsBr00
69,Andrew Hawkins,CIN,26,WR,14,2,80,51,63.8%,533,10.5,4,24,48.8,59,6.7,3.6,38.1,1,HawkAn00
70,Aaron Hernandez,NWE,23,TE,10,10,83,51,61.4%,483,9.5,5,27,53.0,31,5.8,5.1,48.3,0,HernAa00
71,Denarius Moore,OAK,24,WR,15,15,114,51,44.7%,741,14.5,7,33,39.5,58,6.5,3.4,49.4,3,MoorDe02
72,Trent Richardson,CLE,22,RB,15,15,70,51,72.9%,367,7.2,1,18,50.0,27,5.2,3.4,24.5,3,RichTr00
