"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","272","1,459","5.4","72","19","14","67","83","564","8.4","7","2","16","391.3","24.5","100.0%"
"2","Breece Hall (NYJ)","223","994","4.5","83","19","5","76","95","591","7.8","4","0","17","290.5","17.1","98.8%"
"3","Travis Etienne Jr. (JAC)","267","1,008","3.8","62","11","11","58","73","476","8.2","1","0","17","282.4","16.6","99.7%"
"4","Rachaad White (TB)","272","990","3.6","38","5","6","64","70","549","8.6","3","2","17","267.9","15.8","97.2%"
"5","Raheem Mostert (MIA)","209","1,012","4.8","49","12","18","25","32","175","7.0","3","1","15","267.7","17.8","89.9%"
"6","Joe Mixon (HOU)","257","1,034","4.0","44","5","9","52","64","376","7.2","3","0","17","267.0","15.7","99.0%"
"7","Kyren Williams (LAR)","228","1,144","5.0","56","11","12","32","48","206","6.4","3","2","12","255.0","21.3","96.1%"
"8","Derrick Henry (BAL)","280","1,167","4.2","69","11","12","28","36","214","7.6","0","0","17","246.7","14.5","99.3%"
"9","Bijan Robinson (ATL)","214","976","4.6","38","9","4","58","86","487","8.4","4","3","17","246.3","14.5","99.8%"
"10","Jahmyr Gibbs (DET)","182","945","5.2","36","14","10","52","71","316","6.1","1","1","15","242.1","16.1","99.3%"
"11","Alvin Kamara (NO)","180","694","3.9","17","0","5","75","86","466","6.2","1","0","13","233.0","17.9","97.8%"
"12","James Cook (BUF)","237","1,122","4.7","42","10","2","44","54","445","10.1","4","2","17","232.7","13.7","97.7%"
"13","Saquon Barkley (PHI)","247","962","3.9","36","12","6","41","60","280","6.8","4","2","14","223.2","15.9","99.9%"
"14","Tony Pollard (TEN)","252","1,005","4.0","31","7","6","55","67","311","5.7","0","1","17","222.6","13.1","91.9%"
"15","Isiah Pacheco (KC)","205","935","4.6","48","11","7","44","49","244","5.5","2","1","14","213.9","15.3","97.7%"
"16","Jerome Ford (CLE)","204","813","4.0","69","11","4","44","63","319","7.3","5","1","17","211.2","12.4","70.8%"
"17","David Montgomery (DET)","219","1,015","4.6","75","9","13","16","24","117","7.3","0","1","14","207.2","14.8","91.6%"
"18","James Conner (ARI)","208","1,040","5.0","44","14","7","27","33","165","6.1","2","0","13","201.5","15.5","90.0%"
"19","Kenneth Walker III (SEA)","219","905","4.1","45","11","8","29","37","259","8.9","1","0","15","199.4","13.3","96.6%"
"20","D'Andre Swift (CHI)","229","1,049","4.6","43","10","5","39","49","214","5.5","1","1","16","199.3","12.5","92.4%"
"21","Brian Robinson Jr. (WAS)","178","733","4.1","29","4","5","36","43","368","10.2","4","2","15","198.1","13.2","84.3%"
"22","Jaylen Warren (PIT)","149","784","5.3","74","9","4","61","74","370","6.1","0","2","17","196.4","11.6","82.5%"
"23","Najee Harris (PIT)","255","1,035","4.1","25","8","8","29","38","170","5.9","0","1","17","195.5","11.5","89.5%"
