"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Malik Heath","GB","12","WR","20","12","0","116","0","1","0","2","60","9.75","5.8","9.67","2.5","5","2","1","25","16.7","100","4","1","20","8.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.6","0.1","1.97"
"Quentin Johnston","LAC","16","WR","60","36","1","414","0","2","0","2","60","13","6.9","11.5","3.75","16","6","2","26.7","16.7","100","7","2","11.7","5.6","100","2","0","3","0","0","0","1.5","0.5","1","0.5","0","0","0","0","0","0","0","0","0","0","0","71.7","0.11","1.89"
"Jordan Addison","MIN","16","WR","97","66","2","854","2","9","2","3","68","12.02","8.8","12.94","3.97","30","15","7","30.9","22.7","77.8","9","4","9.3","6.1","44.4","1","0","2","0","0","0","2","1","0","0","0","1","0","100","0","0","0","0","0","0","0","172.6","0.2","2.58"
"Marvin Mims Jr.","DEN","15","WR","31","21","4","361","1","1","1","1","67.7","15.65","11.65","17.19","6.71","9","4","1","29","19","100","2","0","6.5","0","0","8","0","29","0","0","0","3.63","4.13","2","0.25","0","2","0","25","0","0","0","0","0","0","0","55.5","0.16","1.91"
"Xavier Hutchinson","HST","13","WR","15","7","0","84","0","0","0","1","46.7","11","5.6","12","2.29","3","2","0","20","28.6","0","0","0","0","0","0","5","0","49","0","0","0","9.8","3.6","2","0.4","0","2","0","40","0","1","0","20","0","0","0","16.8","0.07","1.4"
"Andrei Iosivas","CIN","15","WR","18","10","0","80","0","2","0","2","55.6","10.11","4.44","8","2.3","7","2","2","38.9","20","100","2","2","11.1","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0.12","2.5"
"Jameson Williams","DET","12","WR","42","24","2","354","0","2","1","5","57.1","16","8.43","14.75","4.29","11","6","2","26.2","25","100","1","1","2.4","4.2","50","3","0","29","0","1","0","9.67","5.33","0","0","1","1","1","33.3","100","0","0","0","0","0","0","68.3","0.15","2.53"
"Tre Tucker","LV","15","WR","29","14","2","252","0","2","0","1","48.3","19.97","8.69","18","1.5","11","6","2","37.9","42.9","100","4","2","13.8","14.3","100","9","0","66","0","0","0","7.33","2.56","3","0.33","0","1","0","11.1","0","0","0","0","0","0","0","50.8","0.17","2.21"
"Trey Palmer","TB","16","WR","60","37","1","375","0","3","0","2","61.7","10.97","6.25","10.14","2.95","11","5","3","18.3","13.5","100","4","3","6.7","8.1","100","3","0","22","0","0","0","7.33","2.67","1","0.33","2","0","0","0","0","0","0","0","0","0","0","76.2","0.11","1.91"
"George Pickens","PIT","16","WR","104","63","6","1140","5","5","4","3","60.6","13.72","10.96","18.1","6.49","19","7","2","18.3","11.1","40","5","0","4.8","0","0","2","0","15","0","0","0","7.5","2.5","0","0","3","0","0","0","0","0","0","0","0","0","0","177","0.2","2.72"
"David Bell","CLV","14","WR","17","10","1","99","0","1","1","2","58.8","4.35","5.82","9.9","6.8","2","0","0","11.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.9","0.13","2.09"
"Garrett Wilson","NYJ","16","WR","159","93","2","1008","2","3","1","5","58.5","10.55","6.34","10.84","3.24","28","14","2","17.6","15.1","66.7","7","2","4.4","2.2","66.7","4","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","165.3","0.17","1.7"
"Malik Taylor","NYJ","3","WR","4","2","0","13","0","0","0","0","50","23","3.25","6.5","4","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3","0.05","1.15"
"Drake London","ATL","15","WR","99","65","1","864","2","2","0","1","65.7","11.72","8.73","13.29","2.78","22","13","2","22.2","20","100","8","2","8.1","3.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","130.9","0.16","2.01"
"Amon-Ra St. Brown","DET","15","WR","148","112","2","1371","8","9","0","4","75.7","7.6","9.26","12.24","5.31","32","20","7","21.6","17.9","77.8","5","2","3.4","1.8","22.2","4","0","24","0","0","0","6","2","0","0","1","1","0","25","0","0","0","0","0","0","2","249.5","0.26","2.15"
"Cedric Tillman","CLV","13","WR","36","18","0","181","0","0","0","0","50","11.89","5.03","10.06","3.22","11","4","0","30.6","22.2","0","5","0","13.9","0","0","1","0","8","0","0","0","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","27.9","0.05","1.47"
"Jahan Dotson","WAS","16","WR","76","47","0","501","1","4","0","4","61.8","10.03","6.59","10.66","2.19","19","10","4","25","21.3","100","8","4","10.5","8.5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.6","0.11","2.08"
"Romeo Doubs","GB","16","WR","92","59","0","674","0","8","0","5","64.1","12.47","7.33","11.42","2.34","24","14","8","26.1","23.7","100","13","7","14.1","11.9","87.5","1","0","-11","0","0","0","-11","0","0","0","1","0","0","0","0","0","0","0","0","0","1","143.8","0.17","2.4"
"Rashod Bateman","BLT","15","WR","55","32","0","367","0","1","0","4","58.2","14.69","6.67","11.47","2","14","5","1","25.5","15.6","100","3","1","5.5","3.1","100","1","0","18","0","0","0","18","4","1","1","0","0","0","0","0","0","0","0","0","0","0","60.5","0.1","1.83"
"Jalen Nailor","MIN","4","WR","6","3","0","29","0","0","0","1","50","9.33","4.83","9.67","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4","0.05","1.47"
"Terrace Marshall Jr.","CAR","8","WR","29","18","0","134","0","0","0","2","62.1","8.03","4.62","7.44","2.67","3","2","0","10.3","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","22.4","0.08","1.24"
"Ja'Marr Chase","CIN","15","WR","135","96","4","1197","5","7","3","4","71.1","9.43","8.87","12.47","5.59","26","13","5","19.3","13.5","71.4","11","4","8.1","4.2","57.1","3","0","-6","0","0","0","-2","1.33","0","0","1","0","0","0","0","0","0","0","0","0","0","209.1","0.24","2.11"
"Brandon Aiyuk","SF","15","WR","97","72","3","1317","7","7","1","2","74.2","14.54","13.58","18.29","4.96","16","8","6","16.5","11.1","85.7","7","5","7.2","6.9","71.4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","209.7","0.27","2.91"
"Tyquan Thornton","NE","9","WR","22","13","0","91","0","0","0","2","59.1","10.77","4.14","7","3.69","2","0","0","9.1","0","0","0","0","0","0","0","3","0","51","0","0","0","17","15.67","2","0.67","0","1","0","33.3","0","0","0","0","0","0","0","20.7","0.09","1.29"
"Jake Bobo","SEA","16","WR","23","18","0","187","0","2","0","1","78.3","7.43","8.13","10.39","4.56","7","4","2","30.4","22.2","100","2","2","8.7","11.1","100","1","0","3","0","1","0","3","2","0","0","0","1","1","100","100","1","1","100","100","0","0","46","0.16","2.42"
