"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"28","Torrey Smith (FA)","49","92","767","15.7","53","13","11","0","0","0","0","16","191.7","12.0","0.0%"
"29","Andre Johnson (FA)","85","147","936","11.0","35","14","3","0","0","0","3","15","190.6","12.7","0.0%"
"30","Rueben Randle (FA)","71","127","938","13.2","49","12","3","0","0","0","0","16","182.8","11.4","0.0%"
"31","Jarvis Landry (FA)","84","112","758","9.0","25","6","5","2","-4","0","4","16","181.4","11.3","14.0%"
"32","Eddie Royal (FA)","62","91","778","12.5","47","14","7","3","14","0","1","16","181.2","11.3","0.0%"
"33","Vincent Jackson (FA)","70","142","1,002","14.3","50","12","2","0","0","0","1","16","180.2","11.3","0.0%"
"34","Mohamed Sanu Sr. (FA)","56","98","790","14.1","76","9","5","7","51","0","0","16","179.2","11.2","0.0%"
"35","Brandon Marshall (FA)","61","106","721","11.8","47","5","8","0","0","0","1","13","179.1","13.8","2.6%"
"36","Marques Colston (FA)","59","99","902","15.3","57","17","5","0","0","0","1","16","177.2","11.1","0.0%"
"37","Keenan Allen (CHI)","77","121","783","10.2","35","6","4","0","0","0","2","14","175.3","12.5","89.5%"
"38","Kenny Stills (FA)","63","84","931","14.8","69","10","3","1","-2","0","0","15","173.9","11.6","0.0%"
"39","James Jones (FA)","73","112","666","9.1","42","6","6","0","0","0","1","16","173.6","10.9","0.0%"
"40","Malcom Floyd (FA)","52","92","856","16.5","59","13","6","0","0","0","0","16","173.6","10.9","0.0%"
"41","Greg Jennings (FA)","59","92","742","12.6","38","9","6","0","0","0","0","16","169.2","10.6","0.0%"
"42","Kendall Wright (FA)","57","93","715","12.5","48","10","6","4","54","0","1","14","167.9","12.0","0.0%"
"43","Doug Baldwin (FA)","66","98","825","12.5","49","15","3","1","8","0","0","16","167.3","10.5","0.0%"
"44","Michael Floyd (FA)","47","99","841","17.9","63","15","6","1","2","0","1","16","165.3","10.3","0.0%"
"45","Robert Woods (HOU)","65","104","699","10.8","37","11","5","0","0","0","1","16","164.9","10.3","2.8%"
"46","Michael Crabtree (FA)","68","108","698","10.3","51","10","4","1","4","0","0","16","162.2","10.1","0.0%"
"47","Pierre Garcon (FA)","68","105","752","11.1","70","8","3","0","0","0","0","16","161.2","10.1","0.0%"
"48","Andrew Hawkins (FA)","63","112","824","13.1","65","13","2","3","15","0","0","15","158.9","10.6","0.0%"
"49","Allen Hurns (FA)","51","97","677","13.3","63","11","6","0","0","0","0","16","154.7","9.7","0.0%"
"50","Reggie Wayne (FA)","64","116","779","12.2","80","10","2","0","0","0","1","15","151.9","10.1","0.0%"
"51","Larry Fitzgerald (FA)","63","104","784","12.4","80","11","2","0","0","0","1","14","151.4","10.8","0.2%"
"52","Terrance Williams (FA)","37","65","621","16.8","51","10","8","0","0","0","0","16","147.1","9.2","0.0%"
"53","John Brown (FA)","48","103","696","14.5","75","11","5","3","-6","0","0","16","147.0","9.2","0.0%"
"54","Kenny Britt (FA)","48","84","748","15.6","63","13","3","2","14","0","0","16","142.2","8.9","0.0%"
"55","Andre Holmes (FA)","47","98","693","14.7","77","9","4","0","0","0","0","16","140.3","8.8","0.0%"
"56","Brandin Cooks (DAL)","53","69","550","10.4","50","4","3","7","73","1","0","10","139.3","13.9","49.8%"
"57","Dwayne Bowe (FA)","60","95","754","12.6","37","9","0","0","0","0","0","15","135.4","9.0","0.0%"
"58","Markus Wheaton (FA)","53","86","644","12.2","47","5","2","4","19","0","0","16","131.3","8.2","0.0%"
"59","Martavis Bryant (FA)","26","49","549","21.1","94","8","8","3","12","0","0","10","130.1","13.0","0.1%"
"60","Percy Harvin (FA)","51","78","483","9.5","45","6","1","33","202","1","1","13","129.5","10.0","0.1%"
"61","Riley Cooper (FA)","55","95","577","10.5","50","5","3","0","0","0","1","16","128.7","8.0","0.0%"
"62","Harry Douglas (FA)","51","74","556","10.9","41","3","2","0","0","0","0","12","120.6","10.1","0.0%"
"63","Jarius Wright (FA)","42","62","588","14.0","87","9","2","5","71","0","0","16","119.9","7.5","0.0%"
"64","Cecil Shorts (FA)","53","110","557","10.5","53","7","1","0","0","0","1","13","118.0","9.1","0.0%"
"65","Allen Robinson II (FA)","48","81","548","11.4","54","5","2","0","0","0","0","10","116.8","11.7","0.6%"
"66","Nate Washington (FA)","40","72","647","16.2","80","11","2","0","0","0","0","16","116.7","7.3","0.0%"
"67","Miles Austin (FA)","47","72","568","12.1","31","7","2","0","0","0","0","12","115.8","9.7","0.0%"
"68","Jerricho Cotchery (FA)","48","78","580","12.1","47","7","1","0","0","0","0","15","114.0","7.6","0.0%"
"69","Devin Hester (FA)","38","59","504","13.3","46","7","2","6","36","1","1","16","108.0","6.8","0.4%"
"70","Wes Welker (FA)","49","64","464","9.5","39","5","2","0","0","0","0","14","107.4","7.7","0.0%"
"71","Taylor Gabriel (FA)","36","72","621","17.3","70","10","1","4","10","0","0","16","105.1","6.6","0.1%"
"72","Chris Hogan (FA)","41","61","426","10.4","31","5","4","0","0","0","2","16","103.6","6.5","0.0%"
"73","Hakeem Nicks (FA)","38","68","405","10.7","29","7","4","0","0","0","0","16","102.5","6.4","0.0%"
"74","Davante Adams (LV)","38","66","446","11.7","45","5","3","0","0","0","0","16","100.6","6.3","99.9%"
"75","Jermaine Kearse (FA)","38","69","537","14.1","60","7","1","2","15","0","0","15","99.9","6.7","0.0%"
"76","Cole Beasley (FA)","37","49","420","11.4","45","4","4","0","0","0","2","16","99.0","6.2","0.0%"
"77","Brian Hartline (FA)","39","63","474","12.2","35","4","2","0","0","0","0","16","98.4","6.2","0.0%"
"78","Steve Johnson (FA)","35","50","435","12.4","32","8","3","0","0","0","0","13","96.5","7.4","0.0%"
"79","Donte Moncrief (FA)","32","49","444","13.9","79","7","3","4","17","0","0","16","96.1","6.0","0.0%"
"80","Justin Hunter (FA)","28","67","498","17.8","75","7","3","0","0","0","0","12","95.8","8.0","0.0%"
"81","Jeremy Kerley (FA)","38","75","409","10.8","33","3","1","4","86","0","0","16","93.5","5.8","0.0%"
"82","Andre Roberts (FA)","36","73","453","12.6","61","7","2","2","21","0","2","16","91.4","5.7","0.0%"
"83","Charles Johnson (FA)","31","59","475","15.3","56","9","2","1","-11","0","0","12","91.4","7.6","0.0%"
"84","Tavon Austin (FA)","31","44","242","7.8","28","2","0","36","224","2","0","15","89.6","6.0","0.1%"
"85","Preston Parker (FA)","36","56","418","11.6","42","4","2","0","0","0","1","16","87.8","5.5","0.0%"
"86","Marqise Lee (FA)","37","68","422","11.4","37","6","1","3","9","0","0","13","86.1","6.6","0.0%"
"87","Louis Murphy (FA)","31","56","380","12.3","54","6","2","0","0","0","0","11","81.0","7.4","0.0%"
"88","Stedman Bailey (FA)","30","46","435","14.5","38","6","1","1","13","0","0","14","80.8","5.8","0.0%"
"89","Brian Quick (FA)","25","39","375","15.0","51","5","3","0","0","0","0","7","80.5","11.5","0.0%"
"90","Jason Avant (FA)","34","62","353","10.4","41","4","1","1","1","0","0","16","75.4","4.7","0.0%"
"91","Damaris Johnson (FA)","31","49","331","10.7","44","4","1","5","19","0","0","16","72.0","4.5","0.0%"
"92","Corey Brown (FA)","21","36","296","14.1","47","3","2","8","95","0","1","13","70.1","5.4","0.2%"
"93","Kamar Aiken (FA)","24","32","267","11.1","24","2","3","0","0","0","0","16","68.7","4.3","0.0%"
"94","Travis Benjamin (FA)","18","46","314","17.4","43","8","3","3","11","0","0","16","68.5","4.3","0.0%"
"95","Brandon Gibson (FA)","29","51","295","10.2","40","1","1","0","0","0","0","14","64.5","4.6","0.0%"
"96","Victor Cruz (FA)","23","41","337","14.7","61","7","1","0","0","0","0","6","62.7","10.5","0.1%"
"97","Paul Richardson Jr. (FA)","29","44","271","9.3","32","3","1","0","0","0","0","15","62.1","4.1","0.0%"
"98","Brice Butler (FA)","21","36","280","13.3","55","2","2","0","0","0","0","15","61.0","4.1","0.0%"
"99","Jeremy Ross (FA)","24","35","314","13.1","59","4","1","2","-1","0","2","16","57.3","3.6","0.0%"
"100","Jaron Brown (FA)","22","32","229","10.4","26","4","2","0","0","0","0","16","56.9","3.6","0.0%"
"101","De'Anthony Thomas (FA)","23","31","156","6.8","30","1","0","14","113","1","0","12","55.9","4.7","0.0%"
"102","Josh Gordon (FA)","24","47","303","12.6","32","3","0","0","0","0","0","5","54.3","10.9","0.0%"
"103","Danny Amendola (FA)","27","42","200","7.4","21","1","1","0","0","0","0","16","53.0","3.3","0.0%"
"104","Derek Hagan (FA)","19","34","254","13.4","38","5","1","0","0","0","0","16","50.4","3.2","0.0%"
"105","Marlon Brown (FA)","24","31","255","10.6","22","1","0","0","0","0","0","14","49.5","3.5","0.0%"
"106","Brandon Lloyd (FA)","14","35","294","21.0","80","5","1","0","0","0","0","14","49.4","3.5","0.0%"
"107","Lance Moore (FA)","14","26","198","14.1","29","4","2","0","0","0","0","14","47.8","3.4","0.0%"
"108","Kenbrell Thompkins (FA)","21","47","262","12.5","50","2","0","2","5","0","0","14","47.7","3.4","0.0%"
"109","Nick Toon (FA)","17","23","215","12.6","24","3","1","1","4","0","1","8","42.9","5.4","0.0%"
"110","Ricardo Lockette (FA)","11","15","195","17.7","48","3","2","1","2","0","0","16","42.7","2.7","0.0%"
"111","Brandon Tate (FA)","17","26","193","11.4","50","1","1","3","21","0","1","16","42.4","2.7","0.0%"
"112","Albert Wilson (FA)","16","28","260","16.3","48","4","0","0","0","0","0","12","42.0","3.5","0.0%"
"113","Corey Fuller (FA)","14","31","212","15.1","52","3","1","0","0","0","1","16","39.2","2.5","0.0%"
"114","Rishard Matthews (FA)","12","22","135","11.3","23","2","2","1","3","0","0","14","37.8","2.7","0.0%"
"115","Marquess Wilson (FA)","17","32","140","8.2","17","0","1","0","0","0","0","7","37.0","5.3","0.0%"
"116","Brenton Bersin (FA)","13","20","151","11.6","29","2","1","0","0","0","0","15","34.1","2.3","0.0%"
"117","Ted Ginn Jr. (FA)","14","26","190","13.6","27","3","0","3","6","0","0","16","34.0","2.1","0.0%"
"118","Chris Givens (FA)","11","20","159","14.5","47","3","1","1","4","0","0","14","33.3","2.4","0.0%"
"119","Bruce Ellington (FA)","6","12","62","10.3","20","1","2","6","28","1","0","13","33.0","2.5","0.0%"
"120","Greg Salas (FA)","8","23","167","20.9","51","4","0","1","20","1","0","10","32.7","3.3","0.0%"
"121","Eric Weems (FA)","10","11","102","10.2","40","1","2","0","0","0","0","16","32.2","2.0","0.0%"
"122","Donnie Avery (FA)","15","26","176","11.7","27","3","0","0","0","0","1","6","30.6","5.1","0.0%"
"123","Austin Pettis (FA)","12","18","118","9.8","27","1","1","0","0","0","0","5","29.8","6.0","0.0%"
"124","Mike Williams (FA)","8","19","142","17.8","80","2","1","0","0","0","0","9","28.2","3.1","0.0%"
"125","Chris Owusu (FA)","6","6","78","13.0","36","1","1","1","23","1","0","8","28.1","3.5","0.0%"
"126","Dontrelle Inman (FA)","12","17","158","13.2","28","1","0","0","0","0","0","7","27.8","4.0","0.0%"
"127","Adam Thielen (CAR)","8","13","137","17.1","44","2","1","0","0","0","0","16","27.7","1.7","79.7%"
"128","Josh Morgan (FA)","10","19","70","7.0","13","0","1","2","30","0","0","14","26.0","1.9","0.0%"
"129","Vincent Brown (FA)","12","21","118","9.8","20","1","0","0","0","0","0","7","23.8","3.4","0.0%"
"130","Rod Streater (FA)","9","13","84","9.3","17","0","1","0","0","0","0","3","23.4","7.8","0.1%"
"131","Michael Campanaro (FA)","7","9","102","14.6","19","0","1","0","0","0","0","4","23.2","5.8","0.0%"
"132","Junior Hemingway (FA)","12","21","108","9.0","17","0","0","0","0","0","0","14","22.8","1.6","0.0%"
"133","Denarius Moore (FA)","12","27","115","9.6","28","1","0","1","1","0","1","10","21.6","2.2","0.0%"
"134","Santana Moss (FA)","10","15","116","11.6","19","0","0","0","0","0","0","10","21.6","2.2","0.0%"
"135","Joe Morgan (FA)","4","10","92","23.0","62","1","0","1","67","0","0","5","19.9","4.0","0.0%"
"136","Jacoby Jones (FA)","9","18","131","14.6","31","2","0","3","16","0","2","16","19.7","1.2","0.0%"
"137","Justin Brown (FA)","12","21","94","7.8","18","0","0","0","0","0","1","8","19.4","2.4","0.0%"
"138","Kevin Norwood (FA)","9","10","102","11.3","31","1","0","0","0","0","0","9","19.2","2.1","0.0%"
"139","Brian Tyms (FA)","5","11","82","16.4","43","1","1","0","0","0","0","11","19.2","1.7","0.0%"
"140","Robert Meachem (FA)","7","21","114","16.3","25","2","0","0","0","0","0","11","18.4","1.7","0.0%"
"141","A.J. Jenkins (FA)","9","15","93","10.3","27","1","0","2","-2","0","0","9","18.1","2.0","0.0%"
"142","Robert Herron (FA)","6","12","58","9.7","16","0","1","1","0","0","0","8","17.8","2.2","0.0%"
"143","Trevor Graham (FA)","3","8","87","29.0","67","1","1","0","0","0","0","12","17.7","1.5","0.0%"
"144","Dane Sanzenbacher (FA)","9","15","105","11.7","26","1","0","1","-1","0","1","10","17.4","1.7","0.0%"
"145","James Wright (FA)","5","16","91","18.2","30","2","0","3","30","0","0","17","17.1","1.0","0.0%"
"146","Josh Huff (FA)","8","18","98","12.3","44","1","0","1","7","0","1","12","16.5","1.4","0.0%"
"147","Corey Washington (FA)","5","8","52","10.4","20","1","1","0","0","0","0","14","16.2","1.2","0.0%"
"148","Dwayne Harris (FA)","7","12","116","16.6","56","1","0","4","7","0","2","16","15.3","1.0","0.0%"
"149","Santonio Holmes (FA)","8","14","67","8.4","15","0","0","0","0","0","0","9","14.7","1.6","0.0%"
"150","David Nelson (FA)","8","16","65","8.1","17","0","0","0","0","0","0","6","14.5","2.4","0.0%"
"151","Ryan Grant (FA)","7","15","68","9.7","21","1","0","0","0","0","0","16","13.8","0.9","0.0%"
"152","Keshawn Martin (FA)","6","12","78","13.0","32","1","0","0","0","0","0","16","13.8","0.9","0.0%"
"153","Mike Brown (FA)","7","15","88","12.6","17","0","0","0","0","0","1","5","13.8","2.8","0.0%"
"154","Greg Little (FA)","6","12","69","11.5","21","1","0","0","0","0","0","6","12.9","2.2","0.0%"
"155","Bryan Walters (FA)","6","11","57","9.5","17","0","0","1","-2","0","0","13","11.5","0.9","0.0%"
"156","Kris Durham (FA)","6","11","54","9.0","14","0","0","0","0","0","0","4","11.4","2.9","0.0%"
"157","Russell Shepard (FA)","4","8","63","15.8","23","2","0","0","0","0","0","16","10.3","0.6","0.0%"
"158","Kevin Ogletree (FA)","5","9","50","10.0","15","0","0","0","0","0","0","7","10.0","1.4","0.0%"
"159","Jerrel Jernigan (FA)","6","9","40","6.7","11","0","0","1","-2","0","0","2","9.8","4.9","0.0%"
"160","Andre Caldwell (FA)","5","15","47","9.4","15","0","0","0","0","0","0","16","9.7","0.6","0.0%"
"161","Jeff Maehl (FA)","5","5","46","9.2","15","0","0","0","0","0","0","8","9.6","1.2","0.0%"
"162","Ace Sanders (FA)","6","7","55","9.2","24","1","0","0","0","0","1","12","9.5","0.8","0.0%"
"163","Frankie Hammond (FA)","4","11","45","11.3","22","1","0","0","0","0","0","16","8.5","0.5","0.0%"
"164","Seyi Ajirotutu (FA)","4","12","45","11.3","17","0","0","0","0","0","0","16","8.5","0.5","0.0%"
"165","Quinton Patton (FA)","3","8","44","14.7","35","1","0","1","20","0","1","4","7.4","1.9","0.2%"
"166","Aaron Dobson (FA)","3","5","38","12.7","16","0","0","0","0","0","0","4","6.8","1.7","0.0%"
"167","Marquise Goodwin (CLE)","1","9","42","42.0","42","1","0","3","8","0","0","10","6.0","0.6","0.0%"
"168","Jarrett Boykin (FA)","3","12","23","7.7","11","0","0","0","0","0","0","13","5.3","0.4","0.0%"
"169","Ryan Broyles (FA)","2","5","25","12.5","21","1","0","0","0","0","0","5","4.5","0.9","0.0%"
"170","Cody Latimer (FA)","2","4","23","11.5","14","0","0","0","0","0","0","8","4.3","0.5","0.0%"
"171","Darrius Heyward-Bey (FA)","3","5","33","11.0","17","0","0","0","0","0","1","16","4.3","0.3","0.0%"
"172","DeVier Posey (FA)","1","1","30","30.0","30","1","0","0","0","0","0","1","4.0","4.0","0.0%"
"173","Devin Street (FA)","2","7","18","9.0","9","0","0","0","0","0","0","16","3.8","0.2","0.0%"
"174","Jeff Janis (FA)","2","2","16","8.0","9","0","0","0","0","0","0","3","3.6","1.2","0.0%"
"175","Tavarres King (FA)","2","3","13","6.5","7","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"176","Damian Williams (FA)","1","1","14","14.0","14","0","0","0","0","0","0","3","2.4","0.8","0.0%"
"177","Griff Whalen (FA)","2","3","23","11.5","18","0","0","0","0","0","1","10","2.3","0.2","0.0%"
"178","Courtney Roby (FA)","1","2","11","11.0","11","0","0","0","0","0","0","4","2.1","0.5","0.0%"
"179","Brad Smith (FA)","1","3","11","11.0","11","0","0","0","0","0","0","13","2.1","0.2","0.0%"
"180","Solomon Patton (FA)","0","0","0","0","0","0","0","1","19","0","0","7","1.9","0.3","0.0%"
"181","Josh Cribbs (FA)","1","1","8","8.0","8","0","0","0","0","0","0","6","1.8","0.3","0.0%"
"182","Micheal Spurlock (FA)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"183","Aldrick Robinson (FA)","1","3","6","6.0","6","0","0","0","0","0","0","5","1.6","0.3","0.0%"
"184","Kevin Dorsey (FA)","1","2","4","4.0","4","0","0","0","0","0","0","3","1.4","0.5","0.0%"
"185","Anthony Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"186","Darius Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"187","Rico Richardson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"188","Duke Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"189","Onterio McCalebb (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"190","Quincy Enunwa (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"191","Ryan Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"192","Julian Talley (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"193","Chris Matthews (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"194","Rashad Ross (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"195","Josh Boyce (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"196","Phil Bates (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"197","Freddie Martino (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"198","Rodney Smith (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"199","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"200","Kassim Osgood (FA)","0","1","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"201","Tommy Streeter (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"202","Trindon Holliday (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"203","Saalim Hakim (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"204","Josh Bellamy (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"205","Drew Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"206","Deonte Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Laron Byrd (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"208","Marlon Moore (FA)","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"209","Marc Mariani (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"210","Marcus Easley (FA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"211","Leonard Hankerson (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","J.J. Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"213","DeAndre Presley (FA)","0","1","0","0","0","0","0","1","-2","0","0","4","-0.2","-0.1","0.0%"
"214","Jalen Saunders (FA)","1","1","7","7.0","7","0","0","0","0","0","1","9","-0.3","0.0","0.0%"
"215","Chris Williams (FA)","0","0","0","0","0","0","0","1","-8","0","0","7","-0.8","-0.1","0.0%"
"216","Isaiah Burse (FA)","0","1","0","0","0","0","0","0","0","0","1","12","-2.0","-0.2","0.0%"
"217","Walter Powell (FA)","0","0","0","0","0","0","0","0","0","0","1","4","-2.0","-0.5","0.0%"
"218","Marcus Thigpen (FA)","0","1","0","0","0","0","0","0","0","0","1","9","-2.0","-0.2","0.0%"
""
""
